model_key,dim_key,q_gate,sev_sum_gate,require_rule_match,recall,acc,delta_recall_vs_nollm,delta_acc_vs_nollm,pass_acc_guard,result_csv
hds5c3030ala630,full70,0.0,0.0,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.0,0.0,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.0,0.8,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.0,0.8,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.35,0.0,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.35,0.0,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.35,0.8,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.35,0.8,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.55,0.0,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.55,0.0,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.55,0.8,0,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,full70,0.55,0.8,1,65.0,99.882421249,-30.0,9.770146730999997,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_full70_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.0,0.0,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.0,0.0,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.0,0.8,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.0,0.8,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.35,0.0,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.35,0.0,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.35,0.8,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.35,0.8,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.55,0.0,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.55,0.0,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.55,0.8,0,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact9,0.55,0.8,1,40.0,99.897662308,-55.0,9.785387789999987,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact9_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.0,0.0,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.0,0.0,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.0,0.8,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.0,0.8,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.35,0.0,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.35,0.0,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.35,0.8,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.35,0.8,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.55,0.0,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.55,0.0,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.55,0.8,0,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hds5c3030ala630,compact14,0.55,0.8,1,0.0,99.93467799599999,-95.0,9.822403477999984,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hds5c3030ala630_compact14_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,full70,0.0,0.0,0,75.892857142,99.444676824,0.6547619029999936,0.048340941999995835,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,full70,0.0,0.0,1,75.892857142,99.444676824,0.6547619029999936,0.048340941999995835,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,full70,0.0,0.8,0,75.892857142,99.444676824,0.6547619029999936,0.048340941999995835,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,full70,0.0,0.8,1,75.892857142,99.444676824,0.6547619029999936,0.048340941999995835,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,full70,0.35,0.0,0,75.892857142,99.444676824,0.6547619029999936,0.048340941999995835,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_full70_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
