model_key,dim_key,q_gate,sev_sum_gate,require_rule_match,recall,acc,delta_recall_vs_nollm,delta_acc_vs_nollm,pass_acc_guard,result_csv
hds723030ala640,full70,0.0,0.0,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q00_s00_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.0,0.0,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q00_s00_r1_D10_H05000_i10.csv
hds723030ala640,full70,0.0,0.8,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q00_s08_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.0,0.8,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q00_s08_r1_D10_H05000_i10.csv
hds723030ala640,full70,0.35,0.0,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q35_s00_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.35,0.0,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q35_s00_r1_D10_H05000_i10.csv
hds723030ala640,full70,0.35,0.8,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q35_s08_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.35,0.8,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q35_s08_r1_D10_H05000_i10.csv
hds723030ala640,full70,0.55,0.0,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q55_s00_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.55,0.0,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q55_s00_r1_D10_H05000_i10.csv
hds723030ala640,full70,0.55,0.8,0,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q55_s08_r0_D10_H05000_i10.csv
hds723030ala640,full70,0.55,0.8,1,100.0,100.0,70.0,0.09781870100000845,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_full70_q55_s08_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.0,0.0,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q00_s00_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.0,0.0,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q00_s00_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.0,0.8,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q00_s08_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.0,0.8,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q00_s08_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.35,0.0,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q35_s00_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.35,0.0,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q35_s00_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.35,0.8,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q35_s08_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.35,0.8,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q35_s08_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.55,0.0,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q55_s00_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.55,0.0,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q55_s00_r1_D10_H05000_i10.csv
hds723030ala640,compact14,0.55,0.8,0,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q55_s08_r0_D10_H05000_i10.csv
hds723030ala640,compact14,0.55,0.8,1,90.0,99.980449658,60.0,0.07826835900000617,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact14_q55_s08_r1_D10_H05000_i10.csv
hds723030ala640,compact9,0.0,0.8,0,0.0,99.833726388,-30.0,-0.06845491099998924,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact9_q00_s08_r0_D10_H05000_i10.csv
hds723030ala640,compact9,0.0,0.8,1,0.0,99.833726388,-30.0,-0.06845491099998924,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact9_q00_s08_r1_D10_H05000_i10.csv
hds723030ala640,compact9,0.35,0.8,0,0.0,99.833726388,-30.0,-0.06845491099998924,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3_hds723030ala640_compact9_q35_s08_r0_D10_H05000_i10.csv
