model_key,action_qwen3_instruct,recall_qwen3_instruct,delta_recall_qwen3_instruct,acc_qwen3_instruct,delta_acc_qwen3_instruct,best_params_qwen3_instruct,action_qwen35_4b,recall_qwen35_4b,delta_recall_qwen35_4b,acc_qwen35_4b,delta_acc_qwen35_4b,best_params_qwen35_4b,action_qwen35_plus,recall_qwen35_plus,delta_recall_qwen35_plus,acc_qwen35_plus,delta_acc_qwen35_plus,best_params_qwen35_plus,delta_recall_plus_vs_q35,delta_recall_plus_vs_qwen3
hds5c3030ala630,nollm,65.0,-30.0,99.8824,9.7701,"full70, q=0.00, sev=0.0, rule=0",nollm,65.0,-30.0,99.882421249,9.770146730999995,"full70, q=0.00, sev=0.0, rule=0",nollm,65.0,-30.0,99.882421249,9.770146730999995,"full70, q=0.00, sev=0.0, rule=0",0.0,0.0
hds723030ala640,llm_enabled,100.0,70.0,100.0,0.0978,"full70, q=0.00, sev=0.0, rule=0",llm_enabled,100.0,70.0,98.95324326,-0.948938038999998,"compact9, q=0.00, sev=0.0, rule=0",llm_enabled,100.0,70.0,99.021736449,-0.8804448499999893,"compact9, q=0.00, sev=0.0, rule=0",0.0,0.0
hgsthms5c4040ale640,llm_enabled,75.8929,0.6548,99.4447,0.0483,"full70, q=0.00, sev=0.0, rule=0",llm_enabled,75.892857142,0.6547619029999936,99.444676824,0.0483409419999958,"full70, q=0.00, sev=0.0, rule=0",llm_enabled,75.892857142,0.6547619029999936,99.444676824,0.0483409419999958,"full70, q=0.00, sev=0.0, rule=0",0.0,-3.8097000006453996e-05
hi7,llm_enabled,70.9524,2.8571,99.436,-0.049,"compact14, q=0.00, sev=0.8, rule=0",llm_enabled,70.95238095500001,2.8571428569999995,99.791421431,0.3064595089999926,"compact14, q=0.55, sev=0.0, rule=0",llm_enabled,74.28571428700002,6.190476189000009,99.789291509,0.3043295869999838,"compact14, q=0.55, sev=0.0, rule=0",3.3333333320000094,3.333376189000009
hitachihds5c4040ale630,llm_enabled,0.0,0.0,99.9213,0.0,"compact9, q=0.00, sev=0.0, rule=0",llm_enabled,0.0,0.0,99.921340354,0.0,"compact9, q=0.00, sev=0.0, rule=0",llm_enabled,0.0,0.0,99.921340354,0.0,"compact9, q=0.00, sev=0.0, rule=0",0.0,0.0
hms5c4040ble640,nollm,13.3333,-23.3333,99.9445,-0.0208,"compact14, q=0.00, sev=0.0, rule=0",nollm,13.333333332,-23.333333335999995,99.944521498,-0.0208044419999851,"compact14, q=0.00, sev=0.0, rule=0",nollm,13.333333332,-23.333333335999995,99.944521498,-0.0208044419999851,"compact14, q=0.00, sev=0.0, rule=0",0.0,-3.3335999994221766e-05
mc1_pilot20k,llm_enabled,100.0,2.2296,99.5489,0.0532,"compact14, q=0.00, sev=0.0, rule=0",degenerate_skip,,,,,strict phase3: no valid row (kept=0 all combos),degenerate_skip,,,,,strict phase3: no valid row (kept=0 all combos),,
st3000dm001,llm_enabled,63.7434,28.0157,98.0812,0.6634,"compact9, q=0.55, sev=0.8, rule=1",llm_enabled,65.00611985500001,29.278385576000005,98.141485276,0.7236904430000095,"compact9, q=0.55, sev=0.8, rule=0",llm_enabled,62.089656179,26.36192189999999,98.223991222,0.8061963890000072,"compact14, q=0.55, sev=0.0, rule=0",-2.9164636760000135,-1.6537781000000074
st31500341as,llm_enabled,70.2381,1.6667,99.4381,0.0847,"compact9, q=0.00, sev=0.8, rule=0",llm_enabled,70.238095239,1.6666666659999834,99.438121346,0.0847457619999971,"compact9, q=0.00, sev=0.8, rule=0",llm_enabled,76.428571429,7.857142855999982,99.55032353,0.1969479459999803,"full70, q=0.00, sev=0.8, rule=0",6.190476189999998,6.190442855999981
st31500541as,llm_enabled,68.3333,11.5278,99.7957,0.103,"full70, q=0.00, sev=0.0, rule=0",nollm,49.444444443,-7.361111112000003,99.706052545,0.0133364060000076,"compact9, q=0.00, sev=0.0, rule=0",nollm,49.444444443,-7.361111112000003,99.706052545,0.0133364060000076,"compact9, q=0.00, sev=0.0, rule=0",0.0,-18.888911112000002
st4000dm000,nollm,54.1005,-3.8043,99.9137,0.0342,"compact14, q=0.00, sev=0.0, rule=0",nollm,54.100508187,-3.80434782599999,99.913700437,0.0341868860000005,"compact14, q=0.00, sev=0.0, rule=0",nollm,54.100508187,-3.80434782599999,99.913700437,0.0341868860000005,"compact14, q=0.00, sev=0.0, rule=0",0.0,-4.782599999009207e-05
wdcwd10eads,nollm,0.0,-90.0,99.789,-0.1899,"compact9, q=0.00, sev=0.0, rule=0",nollm,0.0,-90.0,99.78902954,-0.1898734140000044,"compact9, q=0.00, sev=0.0, rule=0",nollm,0.0,-90.0,99.78902954,-0.1898734140000044,"compact9, q=0.00, sev=0.0, rule=0",0.0,0.0
wdcwd30efrx,llm_enabled,30.0,30.0,99.9003,0.0423,"compact14, q=0.00, sev=0.0, rule=0",llm_enabled,30.0,30.0,99.900299075,0.0423330379999953,"compact14, q=0.00, sev=0.0, rule=0",llm_enabled,30.0,30.0,99.900299075,0.0423330379999953,"compact14, q=0.00, sev=0.0, rule=0",0.0,0.0
